file_path,label,frames,created_at
dynamic_dataset\THEFT\THEFT_20260726_010507_421185.npy,THEFT,30,20260726_010507_421185
dynamic_dataset\THEFT\THEFT_20260726_010513_238489.npy,THEFT,30,20260726_010513_238489
dynamic_dataset\THEFT\THEFT_20260726_010518_920034.npy,THEFT,30,20260726_010518_920034
dynamic_dataset\THEFT\THEFT_20260726_010524_344074.npy,THEFT,30,20260726_010524_344074
dynamic_dataset\THEFT\THEFT_20260726_010529_265197.npy,THEFT,30,20260726_010529_265197
dynamic_dataset\THEFT\THEFT_20260726_010536_228892.npy,THEFT,30,20260726_010536_228892
dynamic_dataset\THEFT\THEFT_20260726_010542_316422.npy,THEFT,30,20260726_010542_316422
dynamic_dataset\KIDNAP\KIDNAP_20260726_232147_510477.npy,KIDNAP,30,20260726_232147_510477
dynamic_dataset\KIDNAP\KIDNAP_20260726_232149_403114.npy,KIDNAP,30,20260726_232149_403114
dynamic_dataset\KIDNAP\KIDNAP_20260726_232150_924075.npy,KIDNAP,30,20260726_232150_924075
dynamic_dataset\KIDNAP\KIDNAP_20260726_232152_584959.npy,KIDNAP,30,20260726_232152_584959
dynamic_dataset\KIDNAP\KIDNAP_20260726_232230_794944.npy,KIDNAP,30,20260726_232230_794944
dynamic_dataset\KIDNAP\KIDNAP_20260726_232234_399114.npy,KIDNAP,30,20260726_232234_399114
dynamic_dataset\KIDNAP\KIDNAP_20260726_232237_640451.npy,KIDNAP,30,20260726_232237_640451
dynamic_dataset\KIDNAP\KIDNAP_20260726_232241_022951.npy,KIDNAP,30,20260726_232241_022951
dynamic_dataset\KIDNAP\KIDNAP_20260726_232244_519429.npy,KIDNAP,30,20260726_232244_519429
